Freq.	V(n010)/I(V1)
Step Information: 1=1  (Run: 1/11)
1.74180687339159e+003	(9.91206907021167e+001dB,1.79893320400227e+002°)
1.74582215292048e+003	(9.91206956522455e+001dB,1.79893072972431e+002°)
1.74984668862463e+003	(9.91207006253231e+001dB,1.79892824963775e+002°)
1.75388050184174e+003	(9.91207056214565e+001dB,1.79892576372847e+002°)
1.75792361395867e+003	(9.91207106407529e+001dB,1.79892327198233e+002°)
1.76197604641161e+003	(9.91207156833203e+001dB,1.79892077438511e+002°)
1.76603782068614e+003	(9.91207207492670e+001dB,1.79891827092259e+002°)
1.77010895831740e+003	(9.91207258387018e+001dB,1.79891576158049e+002°)
1.77418948089014e+003	(9.91207309517342e+001dB,1.79891324634450e+002°)
1.77827941003890e+003	(9.91207360884740e+001dB,1.79891072520028e+002°)
1.78237876744807e+003	(9.91207412490318e+001dB,1.79890819813343e+002°)
1.78648757485203e+003	(9.91207464335184e+001dB,1.79890566512953e+002°)
1.79060585403527e+003	(9.91207516420453e+001dB,1.79890312617411e+002°)
1.79473362683250e+003	(9.91207568747244e+001dB,1.79890058125268e+002°)
1.79887091512876e+003	(9.91207621316684e+001dB,1.79889803035068e+002°)
1.80301774085954e+003	(9.91207674129901e+001dB,1.79889547345354e+002°)
1.80717412601090e+003	(9.91207727188033e+001dB,1.79889291054663e+002°)
1.81134009261958e+003	(9.91207780492219e+001dB,1.79889034161529e+002°)
1.81551566277311e+003	(9.91207834043607e+001dB,1.79888776664484e+002°)
1.81970085860996e+003	(9.91207887843348e+001dB,1.79888518562052e+002°)
1.82389570231961e+003	(9.91207941892600e+001dB,1.79888259852755e+002°)
1.82810021614272e+003	(9.91207996192524e+001dB,1.79888000535113e+002°)
1.83231442237119e+003	(9.91208050744290e+001dB,1.79887740607638e+002°)
1.83653834334832e+003	(9.91208105549071e+001dB,1.79887480068841e+002°)
1.84077200146893e+003	(9.91208160608046e+001dB,1.79887218917229e+002°)
1.84501541917945e+003	(9.91208215922399e+001dB,1.79886957151303e+002°)
